Living Situation,Total,Without Children,With Children and Adults,With Only Children,Unknown Household Type
Homeless Situations,,,,,
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",67,43,13,9,2
Transitional housing for homeless persons (including homeless youth),0,0,0,0,0
Place not meant for human habitation,63,43,7,11,2
Safe Haven,57,42,5,7,3
Interim Housing,28,23,2,3,0
Subtotal,215,151,27,30,7
Institutional Settings,,,,,
Psychiatric hospital or other psychiatric facility,8,7,1,0,0
Substance abuse treatment facility or detox center,4,2,1,1,0
Hospital or other residential non-psychiatric medical facility,15,10,3,2,0
"Jail, prison, or juvenile detention facility",8,5,2,1,0
Foster care home or foster care group home,5,4,1,0,0
Long-term care facility or nursing home,19,16,1,1,1
Residential project or halfway house with no homeless criteria,1,0,0,1,0
Subtotal,60,44,9,6,1
Other Locations,,,,,
Permanent housing (other than RRH) for formerly homeless persons,28,19,8,1,0
"Owned by client, no ongoing housing subsidy",16,10,4,0,2
"Owned by client, with ongoing housing subsidy",24,16,6,1,1
"Rental by client, no ongoing housing subsidy",36,26,7,3,0
"Rental by client, with VASH subsidy",22,17,4,1,0
Rental by client with GPD TIP subsidy,1,0,0,1,0
Rental by client with other housing subsidy (including RRH),0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,7,7,0,0,0
"Staying or living in a friend's room, apartment or house",0,0,0,0,0
"Staying or living in a family member's room, apartment or house",0,0,0,0,0
Client Doesn't Know/Client Refused,3,2,0,1,0
Data Not Collected,103,85,10,6,2
Subtotal,240,182,39,14,5
Total,515,377,75,50,13
