Cash Income - Sources,Income at Start,Income at Latest Annual Assessment for Stayers,Income at Exit for Leavers
Earned Income,18,7,0
Unemployment Insurance,1,0,0
Supplemental Security Income (SSI),2,0,0
Social Security Disability Insurance (SSDI),3,0,0
VA Service - Connected Disability Compensation,4,0,0
VA Non-Service Connected Disability Pension,2,0,0
Private Disability Insurance,5,3,0
Worker's Compensation,5,0,0
Temporary Assistance for Needy Families (TANF),1,0,0
General Assistance (GA),2,1,0
Retirement Income from Social Security,1,0,0
Pension or retirement income from a former job,1,0,0
Child Support,1,0,0
Alimony and other spousal support,7,3,0
Other Source,1,0,0
Adults with Income Information at Start and Annual Assessment/Exit,,12,6
