Total Number of Persons Served, 574
Number of Adults (age 18 or over),442
Number of Children(under age 18),117
Number of Persons with Unknown Age,15
Number of leavers,36
Number of adult leavers,25
Number of adult and head of household leavers,30
Total Number of Stayers,538
Number of Adult Stayers,417
Number of Veterans,126
Number of Chronically Homeless Persons,72
Number of youth under age 25,108
Number of parenting youth under age 25 with children ,19
Number of Adult Heads of Household,374
Number of child and unknown-age heads of household ,61
Heads of households and adult stayers in the project 365 days or more,376
